Precinct,RICARDO LARA,STEVE POIZNER
PACH102,245,231
PACH801,0,3
PACH802,26,58
PACH803,0,2
PINL102,369,215
PINL103,454,165
PINL104,312,188
PINL105,465,220
PINL106,333,218
PINL107,293,199
PINL108,456,272
PINL109,288,171
PINL110,461,351
PINL111,435,328
PINL112,439,380
PINL801,4,13
PINL802,90,70
PINL803,39,14
PLHL101,381,300
PLHL102,299,245
PLHL103,286,283
PLHL104,492,577
PLHL105,290,368
PLHL106,410,502
PLHL107,405,471
PLHL108,429,483
PLHL109,465,362
PLHL110,339,441
PLHL111,359,442
PLHL112,295,308
PLHL113,423,396
PLHL114,461,485
PLHL115,473,434
PLHL116,347,317
PLHL117,407,309
PLHL118,382,270
PLHL119,399,277
PRCO801,63,57
PTTS101,427,259
PTTS102,295,222
PTTS103,319,182
PTTS104,389,215
PTTS105,170,110
PTTS106,348,209
PTTS107,403,258
PTTS108,450,152
PTTS109,374,114
PTTS110,369,136
PTTS111,321,215
PTTS112,326,167
PTTS113,305,140
PTTS114,411,205
PTTS115,397,248
PTTS116,271,186
PTTS117,224,192
PTTS118,287,225
PTTS119,271,178
PTTS120,255,146
PTTS121,282,111
PTTS122,294,103
PTTS123,226,95
PTTS124,253,90
PTTS125,402,154
PTTS126,342,123
PTTS127,270,115
PTTS128,431,165
PTTS129,505,251
PTTS130,291,150
PTTS131,351,159
PTTS132,429,240
PTTS133,270,177
PTTS134,331,123
PTTS135,273,123
PTTS801,1,2
PTTS802,0,0
RICH101,524,267
RICH102,329,167
RICH103,368,291
RICH104,645,293
RICH105,740,318
RICH106,574,186
RICH107,138,48
RICH108,542,168
RICH109,271,74
RICH110,352,115
RICH111,270,69
RICH112,384,120
RICH113,493,157
RICH114,448,129
RICH115,389,118
RICH116,218,63
RICH117,363,103
RICH118,422,114
RICH119,345,73
RICH120,265,80
RICH121,161,25
RICH122,633,206
RICH123,670,203
RICH124,363,156
RICH125,407,160
RICH126,366,147
RICH127,387,97
RICH128,476,136
RICH129,337,65
RICH130,341,84
RICH131,330,139
RICH132,400,183
RICH133,388,132
RICH134,300,98
RICH135,351,106
RICH136,321,70
RICH137,412,177
RICH138,250,189
RICH139,633,297
RICH140,245,137
RICH141,376,199
RICH142,603,370
RICH143,692,199
RICH144,518,243
RICH145,674,257
RICH146,155,22
RICH147,325,83
RICH148,93,31
RICH149,221,58
RICH150,252,62
RICH151,294,111
RICH152,286,81
RICH153,251,75
RICH154,386,89
RICH155,360,109
RICH156,285,127
RICH801,15,8
RICH802,26,10
RICH803,103,58
RICH804,74,49
RICH805,56,19
RICH806,81,39
RICH807,0,0
RODO101,357,245
RODO102,435,248
RODO103,450,316
RODO104,399,228
ROLL101,497,148
SARA101,246,221
SARA102,480,387
SARA103,465,396
SARA105,238,262
SARA106,314,314
SARA801,2,0
SARA802,86,75
SHEL101,60,96
SHEL102,166,196
SPAB101,686,140
SPAB102,293,62
SPAB103,314,108
SPAB104,377,146
SPAB105,271,114
SPAB106,578,193
SPAB107,459,147
SPAB108,379,115
SPAB109,339,95
SPAB110,466,136
SRAM101,275,345
SRAM102,388,393
SRAM103,270,489
SRAM104,312,435
SRAM105,283,290
SRAM106,326,430
SRAM107,313,435
SRAM108,400,404
SRAM109,358,388
SRAM110,300,410
SRAM111,453,509
SRAM112,346,481
SRAM113,293,405
SRAM114,226,313
SRAM115,368,476
SRAM116,317,361
SRAM117,434,549
SRAM118,251,311
SRAM119,230,288
SRAM120,315,445
SRAM121,137,244
SRAM122,347,292
SRAM123,450,339
SRAM124,265,152
SRAM125,262,347
SRAM126,285,313
SRAM127,168,121
SRAM128,431,424
SRAM129,170,314
SRAM130,247,307
SRAM131,275,216
SRAM132,293,343
SRAM133,411,338
SRAM134,301,251
SRAM135,290,190
SRAM136,183,292
SRAM137,379,316
SRAM138,262,225
SRAM139,221,234
SRAM140,274,225
SRAM141,286,291
SRAM142,260,205
SRAM801,0,0
STMY801,43,72
TASJ101,56,167
TASJ801,0,1
TASJ802,24,90
TASJ803,10,27
TASJ804,45,42
TESO801,0,0
VIER801,2,9
VINE101,344,335
VINE102,199,172
VINE801,35,67
VINE802,34,49
VINE803 0,11,7
WALD101,322,322
WALD102,645,433
WALD103,336,244
WALD801,50,32
WLCR101,528,657
WLCR102,438,464
WLCR103,629,776
WLCR104,132,177
WLCR105,343,477
WLCR106,599,536
WLCR107,173,151
WLCR108,217,237
WLCR109,156,199
WLCR110,382,441
WLCR111,408,447
WLCR112,323,359
WLCR113,447,365
WLCR114,153,148
WLCR115,204,301
WLCR116,214,266
WLCR117,445,601
WLCR118,138,240
WLCR119,393,477
WLCR120,515,464
WLCR121,494,453
WLCR122,261,329
WLCR123,457,259
WLCR124,312,205
WLCR125,367,464
WLCR126,535,399
WLCR127,392,437
WLCR129,488,500
WLCR130,230,357
