Precinct,MARSHALL TUCK,TONY K. THURMOND
RICH105,256,768
RICH106,158,568
RICH107,53,124
RICH108,137,540
RICH109,90,255
RICH110,117,344
RICH111,78,262
RICH112,100,424
RICH113,146,519
RICH114,175,402
RICH115,150,370
RICH116,68,212
RICH117,124,340
RICH118,153,381
RICH119,126,287
RICH120,106,236
RICH121,65,113
RICH122,203,633
RICH123,220,649
RICH124,122,376
RICH125,172,376
RICH126,149,352
RICH127,148,324
RICH128,171,430
RICH129,125,272
RICH130,131,295
RICH131,139,327
RICH132,175,381
RICH133,111,396
RICH134,79,312
RICH135,111,339
RICH136,81,319
RICH137,150,427
RICH138,161,268
RICH139,263,639
RICH140,108,264
RICH141,171,388
RICH142,286,662
RICH143,248,648
RICH144,163,591
RICH145,175,750
RICH146,53,134
RICH147,100,311
RICH148,50,74
RICH149,86,192
RICH150,109,205
RICH151,146,250
RICH152,131,232
RICH153,82,253
RICH154,121,345
RICH155,119,349
RICH156,108,293
RICH801,8,16
RICH802,11,23
RICH803,45,111
RICH804,37,85
RICH805,9,66
RICH806,30,85
RICH807,0,0
RODO101,222,369
RODO102,260,421
RODO103,301,455
RODO104,224,389
ROLL101,226,400
SARA101,159,292
SARA102,277,539
SARA103,324,499
SARA105,194,280
SARA106,251,345
SARA801,0,2
SARA802,70,82
SHEL101,86,63
SHEL102,130,209
SPAB101,345,480
SPAB102,129,213
SPAB103,165,256
SPAB104,147,364
SPAB105,126,258
SPAB106,223,527
SPAB107,236,356
SPAB108,182,299
SPAB109,158,266
SPAB110,208,380
SRAM101,278,331
SRAM102,302,433
SRAM103,400,316
SRAM104,317,384
SRAM105,232,321
SRAM106,331,362
SRAM107,345,365
SRAM108,342,414
SRAM109,318,392
SRAM110,314,376
SRAM111,471,452
SRAM112,392,410
SRAM113,335,338
SRAM114,233,297
SRAM115,373,458
SRAM116,303,351
SRAM117,409,536
SRAM118,264,292
SRAM119,232,275
SRAM120,377,357
SRAM121,188,177
SRAM122,306,312
SRAM123,343,410
SRAM124,159,235
SRAM125,280,304
SRAM126,221,354
SRAM127,131,147
SRAM128,385,452
SRAM129,248,214
SRAM130,253,286
SRAM131,210,255
SRAM132,306,295
SRAM133,327,371
SRAM134,248,270
SRAM135,189,252
SRAM136,210,242
SRAM137,330,324
SRAM138,191,270
SRAM139,199,236
SRAM140,218,265
SRAM141,257,300
SRAM142,184,258
SRAM801,0,0
STMY801,61,50
TASJ101,125,84
TASJ801,1,0
TASJ802,64,43
TASJ803,12,21
TASJ804,30,49
TESO801,0,0
VIER801,8,3
VINE101,311,361
VINE102,177,191
VINE801,46,52
VINE802,34,43
VINE803 0,6,12
WALD101,221,380
WALD102,376,642
WALD103,198,342
WALD801,19,62
WLCR101,515,643
WLCR102,352,518
WLCR103,606,747
WLCR104,138,169
WLCR105,350,441
WLCR106,417,638
WLCR107,107,182
WLCR108,175,238
WLCR109,171,183
WLCR110,359,438
WLCR111,337,477
WLCR112,284,366
WLCR113,292,483
WLCR114,94,194
WLCR115,242,261
WLCR116,212,240
WLCR117,505,484
WLCR118,186,183
WLCR119,365,488
WLCR120,351,594
WLCR121,387,561
WLCR122,246,318
WLCR123,249,419
WLCR124,172,311
WLCR125,351,454
WLCR126,300,560
WLCR127,331,485
WLCR129,395,549
WLCR130,288,265
WLCR131,235,365
WLCR132,372,331
WLCR133,319,458
WLCR134,381,342
WLCR135,363,527
WLCR136,159,194
WLCR137,393,576
WLCR138,379,387
WLCR139,384,361
WLCR140,380,412
WLCR141,401,435
WLCR142,334,537
WLCR143,305,365
WLCR144,241,428
WLCR801,94,91
WLCR802,0,2
WLCR803,19,29
WLCR804,66,114
WLCR805,0,0
WLKN101,367,442
WLKN102,239,324
WLKN103,211,263
WLKN801,71,68
CALD801,3,6
CONC135,319,354
