Precinct,ED HERNANDEZ,ELENI KOUNALAKIS
SPAB105,151,227
SPAB106,348,408
SPAB107,297,293
SPAB108,285,203
SPAB109,247,190
SPAB110,331,259
SRAM101,194,374
SRAM102,233,503
SRAM103,273,425
SRAM104,267,397
SRAM105,214,336
SRAM106,253,444
SRAM107,243,431
SRAM108,263,482
SRAM109,255,433
SRAM110,248,405
SRAM111,309,601
SRAM112,304,458
SRAM113,226,402
SRAM114,214,275
SRAM115,278,496
SRAM116,253,381
SRAM117,340,571
SRAM118,194,330
SRAM119,176,336
SRAM120,254,426
SRAM121,112,224
SRAM122,213,412
SRAM123,269,504
SRAM124,133,262
SRAM125,195,365
SRAM126,201,361
SRAM127,97,185
SRAM128,267,546
SRAM129,168,278
SRAM130,215,298
SRAM131,161,315
SRAM132,184,419
SRAM133,242,478
SRAM134,174,361
SRAM135,152,303
SRAM136,163,293
SRAM137,178,484
SRAM138,157,303
SRAM139,143,290
SRAM140,161,333
SRAM141,229,305
SRAM142,133,310
SRAM801,0,0
STMY801,29,77
TASJ101,83,113
TASJ801,0,1
TASJ802,39,57
TASJ803,12,18
TASJ804,23,60
TESO801,0,0
VIER801,4,7
VINE101,252,385
VINE102,137,203
VINE801,34,52
VINE802,36,42
VINE803 0,6,10
WALD101,210,408
WALD102,308,721
WALD103,174,385
WALD801,31,49
WLCR101,396,679
WLCR102,277,564
WLCR103,421,852
WLCR104,90,194
WLCR105,237,512
WLCR106,335,740
WLCR107,105,188
WLCR108,156,265
WLCR109,132,196
WLCR110,265,486
WLCR111,268,545
WLCR112,208,424
WLCR113,273,488
WLCR114,89,202
WLCR115,171,315
WLCR116,145,291
WLCR117,324,612
WLCR118,136,213
WLCR119,278,526
WLCR120,293,598
WLCR121,284,602
WLCR122,178,368
WLCR123,228,466
WLCR124,146,354
WLCR125,246,524
WLCR126,250,645
WLCR127,245,500
WLCR129,280,620
WLCR130,155,352
WLCR131,210,390
WLCR132,227,435
WLCR133,254,492
WLCR134,249,429
WLCR135,348,565
WLCR136,110,235
WLCR137,306,616
WLCR138,251,468
WLCR139,239,456
WLCR140,277,491
WLCR141,268,517
WLCR142,288,606
WLCR143,211,463
WLCR144,234,456
WLCR801,68,105
WLCR802,2,0
WLCR803,12,40
WLCR804,61,113
WLCR805,0,0
WLKN101,257,532
WLKN102,188,358
WLKN103,163,306
WLKN801,46,87
CALD801,3,6
CONC135,247,381
